Title	Author	Price	Nook	Audio	Hardcover	Subject	Publisher	Published date	Pages	Number of reviews	Rating
Eichmann in Jerusalem: A Report on the Banality of Evil	Hannah Arendt	10.46	TRUE	TRUE	TRUE	"[u'General & Miscellaneous Law', u'General & Miscellaneous Philosophy', u'German History', u'Fascism', u'General & Miscellaneous Military History', u'Israel/Palestine - History', u'Jewish History', u'World War II', u'General & Miscellaneous World History', u""Women's Studies"", u'Political Theory & Ideology', u'Europe - Armed Forces - Biography', u'Historical Biography', u'Fiction & Literature Classics', u'American Philosophy']"	Penguin Group (USA)	9/22/06	336	9	4
Middlesex	Jeffrey Eugenides	9.09	TRUE	TRUE	TRUE	"[u'American Fiction', u'World Literature', u'Fiction Subjects']"	Picador	6/5/07	544	608	4.5
The Giver	Lois Lowry	8.99	TRUE	TRUE	TRUE	[u'Teen Fiction']	Houghton Mifflin Harcourt	7/1/14	240	4332	4.5
"Soul Surfer: A True Story of Faith, Family, and Fighting to Get Back on the Board"	Bethany Hamilton	9.8	TRUE	TRUE	TRUE	"[u'Sports & Adventure Biography', u'Nature', u'Animals - General', u'Marine & Aquatic Life', u'Teens - Biography', u'Teens - Sports', u'Christian Biography', u'Aquatic Life & Sciences', u'Sports & Adventure Biography', u'Teens - Aquatic Life & Sciences', u'Water Sports']"	MTV Books	6/6/06	240	1013	4.5
Stop the Coming Civil War: My Savage Truth	Michael Savage	15.99	TRUE	TRUE	TRUE	"[u'Political Theory & Ideology', u'U.S. Politics in the Post Cold-War Era', u'U.S. Politics - General & Miscellaneous']"	Center Street	10/7/14	320	42	4.5
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen"	Christopher McDougall	10.84	TRUE	TRUE	TRUE	"[u'Exercise & Fitness', u'Sports & Adventure Biography', u'Sports - General & Miscellaneous', u'Native Mesoamerican People', u'Sports & Adventure Biography']"	Knopf Doubleday Publishing Group	3/29/11	304	931	4.5
Heroes Are My Weakness (Signed Book)	Susan Elizabeth Phillips	18.68	TRUE	TRUE	TRUE	[u'Romance']	HarperCollins Publishers	8/26/14	384	37	4
Somewhere Safe with Somebody Good (Mitford Series #10)	Jan Karon	17.18	TRUE	TRUE	TRUE	[u'Fiction Subjects']	Penguin Group (USA)	9/2/14	528	92	4.5
Around the Table: Recipes and Inspiration for Gatherings Throughout the Year (Signed Book)	Martina McBride	21.77	TRUE	TRUE	FALSE	"[u'Celebrities', u'Entertaining', u'General & Miscellaneous Cooking', u'TV Cooks & Celebrity Chefs']"	HarperCollins Publishers	10/7/14	320	4	4
"The Mystery of the Shemitah: The 3,000-Year-Old Mystery That Holds the Secret of America's Future, the World's Future, and Your Future!"	Jonathan Cahn	10.46	TRUE	FALSE	TRUE	"[u'Astrology & Divination', u'Bibles & Bible Studies', u'Future Studies & Forecasting']"	Charisma Media	9/2/14	288	17	4.5
